chave_produto,praca,pontos,alcance,impactos,frequencia
PR41375,CE,1,240990,496207,2.059034770330385
PR33838,PE,1,236903,495202,2.090312841278171
PR31022,SP,1,297538,494894,1.6632944318247929
PR41248,CE,1,226333,494738,2.1858779111961733
PR41225,CE,1,244295,494529,2.0243112041752114
PR41226,CE,1,244285,494519,2.024355762999872
PR30964,SP,1,244225,494091,2.0230922462296146
PR41228,CE,1,224618,491070,2.186240303675626
PR33799,PE,1,245083,488229,1.992092587695556
PR33009,SP,1,293726,487491,1.6596759743537148
PR32444,SP,1,270601,484791,1.7915349244261873
PR42892,CE,1,258909,484336,1.870681941110156
PR39904,BA,1,225323,482768,2.142560464349732
PR40968,BA,1,222806,481754,2.1622150077771667
PR31003,SP,1,268794,481656,1.7919135546984357
PR32499,SP,1,255608,480854,1.8812151136214794
PR30874,SP,1,251606,472650,1.8785269944671237
PR30957,SP,1,306309,470952,1.537503410763236
PR42576,BA,1,263418,470448,1.7859348632770533
PR39368,SP,1,280872,470173,1.6739743454496574
PR33462,SP,1,273160,470110,1.7210038914101162
PR39453,BA,1,227371,467502,2.056117986037904
PR42815,CE,1,182466,467458,2.561883590155298
PR34509,RS,1,208977,467293,2.2360966611238053
PR39787,BA,1,227466,467216,2.0539975991219466
PR33043,SP,1,281704,465749,1.653324718639807
PR32625,SP,1,278382,463178,1.6638190860546846
PR33168,SP,1,273326,462218,1.6910867442016595
PR33161,SP,1,275700,461675,1.6745569010987658
PR42599,CE,1,218119,460898,2.1130493980213725
PR31012,SP,1,289002,457713,1.5837684501647111
PR31941,SP,1,297340,456600,1.535612376462072
PR33490,SP,1,284284,456171,1.6046271187811945
PR41212,CE,1,229955,453930,1.9739970039360737
PR32510,SP,1,272434,453820,1.6657965987147159
PR32432,SP,1,280162,453313,1.6180381068626348
PR30987,SP,1,257369,452636,1.7587029998377042
PR33818,PE,1,201614,451878,2.241303862396214
PR41960,CE,1,160793,451346,2.8070021704924963
PR33035,SP,1,253712,449327,1.7710134544899732
PR33058,SP,1,256864,448961,1.7478570571531105
PR42728,CE,1,231346,444977,1.92342820507567
